ID pot,Time (days),Initial CO2 (ppm),Final CO2 (ppm),Time final (h)
28,105,433.300498651189,578.647973649099,26.14
39,7,486.704943583083,10495.8172279246,23.14
39,14,508.655717453278,9450.89939816281,25.27
39,21,483.102560189895,6086.85756828194,25.31
39,35,579.499860587174,4368.72142857143,24.17
39,49,467.291940298508,6111.36383795309,24.59
39,63,474.482871891131,4150.29503860757,23.06
39,77,476.735214255409,3524.09673313534,22.97
39,91,510.116021847974,3754.57792444242,24.79
39,105,436.430147960435,2870.65339392929,26.14
64,7,505.723191817518,8260.85392646232,23.14
64,14,502.906477668673,6402.21830852075,25.27
64,21,477.152865378094,7856.38946255507,25.31
64,35,634.00123011317,5898.01125143513,24.17
64,49,481.042430703625,4496.22686567164,24.59
64,63,480.18971033659,4310.95277505226,23.06
64,77,479.785999151464,4389.27242257106,22.97
64,91,505.454802002731,4462.80823850706,24.79
64,105,461.225373988392,3678.56308372248,26.14
15,7,496.626300836107,6548.84705427447,23.14
15,14,496.391605955021,8470.35155210643,25.27
15,21,484.969769413361,10483.9368281938,25.31
15,35,516.107347876005,8084.60644579301,24.17
15,49,465.765756929638,6256.33590618337,24.59
15,63,510.907597798729,6162.45915276652,23.06
15,77,477.69796351294,4822.9666525244,22.97
15,91,511.101046882112,5805.40678197542,24.79
15,105,437.618286601815,4823.01526017345,26.14
33,7,481.065281272831,15791.1233830146,23.14
33,14,521.240053848591,12287.5008394045,25.27
33,21,487.760927433028,8656.50391189427,25.31
33,35,495.060578973266,9517.95169755617,24.17
33,49,467.022601279318,8263.94942430703,24.59
33,63,472.592338210827,7236.39174949874,23.06
33,77,477.286805260925,8243.87815019092,22.97
33,91,510.417660446063,8891.34360491579,24.79
33,105,432.071650453691,5930.65072548366,26.14
25,7,489.805795924994,797.788825224972,23.14
25,14,491.520367437441,766.190354767184,25.27
25,21,481.335885045778,631.25095154185,25.31
25,35,477.82511891094,686.368271280958,24.17
25,49,490.4078891258,649.885756929638,24.59
25,63,508.321402670535,649.479032464485,23.06
25,77,666.338014425117,840.829274501485,22.97
25,91,504.997177969959,673.809376422394,24.79
25,105,433.364097114363,620.048532354903,26.14
34,7,496.782271288254,759.804239313836,23.14
34,14,472.487329743427,814.440877415268,25.27
34,21,471.780467955239,775.515894273128,25.31
34,35,475.612071510579,779.134664589142,24.17
34,49,466.519275053305,730.826268656717,24.59
34,63,536.360436841432,711.579284160232,23.06
34,77,542.857912600764,729.914340263046,22.97
34,91,503.913837050523,720.412380518889,24.79
34,105,492.468936483283,702.97940293529,26.14
14,7,468.518857050085,1556.14913174916,23.14
14,14,444.819781438074,1320.06186252772,25.27
14,21,478.730874872838,1259.55437004405,25.31
14,35,477.50989010989,1074.15154174184,24.17
14,49,464.880383795309,871.661108742004,24.59
14,63,473.059895055672,808.415937886609,23.06
14,77,475.278447178617,813.401951633432,22.97
14,91,509.35721438325,896.600682749203,24.79
14,105,439.779776015695,815.612199799867,26.14
11,7,484.842406039451,1616.32399465692,23.14
11,14,477.191542603738,1149.82598986379,25.27
11,21,485.148016276704,1150.29155066079,25.31
11,35,504.921469575201,1154.2635804494,24.17
11,49,481.645799573561,918.308102345416,24.59
11,63,678.607226654153,965.728936478819,23.06
11,77,475.878489605431,863.289053882053,22.97
11,91,502.5802002731,937.62234865726,24.79
11,105,433.682866018148,585.103569046031,26.14
30,7,489.890153421544,587.600745219348,23.14
30,14,483.503009185936,514.193094710168,25.27
30,21,473.224660902001,516.084502202643,25.31
30,35,501.51097260948,583.263654256192,24.17
30,49,502.561918976546,555.728571428571,24.59
30,63,480.482701249947,532.975427669468,23.06
30,77,530.397751378871,577.960203648706,22.97
30,91,507.961902594447,573.490532544379,24.79
30,105,434.292283168479,504.427493328886,26.14
69,7,475.59050247585,614.977010686164,23.14
69,14,488.737408932531,591.74070319924,25.27
69,21,476.847583926755,523.848704845815,25.31
69,35,487.22959652288,578.48585369854,24.17
69,49,493.064562899787,573.768187633262,24.59
69,63,470.280491446611,518.297598225332,23.06
69,77,475.502291047942,561.414637250743,22.97
69,91,509.772325898953,595.08097405553,24.79
69,105,431.33123518352,505.172823549033,26.14
46,7,510.521876775712,596.135932227222,23.14
46,14,501.529173265759,563.807095343681,25.27
46,21,485.513402848423,501.628237885463,25.31
46,35,474.829817943251,544.938363129408,24.17
46,49,466.339019189766,541.188059701493,24.59
46,63,526.829614777527,532.080414658078,23.06
46,77,496.991132795927,544.74484514213,22.97
46,91,504.948520710059,563.631998179335,24.79
46,105,429.808428022562,500.807413275517,26.14
47,7,469.910836918581,618.691138217098,23.14
47,14,462.704545454545,542.500823566677,25.27
47,21,482.037733129874,512.403348017621,25.31
47,35,525.262497949811,585.833016237494,24.17
47,49,494.480938166311,534.942729211087,24.59
47,63,509.137792756282,548.572245211382,23.06
47,77,517.019855748833,654.356003394145,22.97
47,91,504.160172963132,530.883158852981,24.79
47,105,427.802869287992,453.662650100067,26.14
54,7,583.657861839435,10515.6636846175,22.63
54,14,539.948622109598,8465.46841938549,25.16
54,21,522.459537131231,9202.54775330396,25.19
54,35,592.277964572741,8315.95965228801,24.14
54,49,698.054925373134,4577.19590618337,24.39
54,63,632.536197261209,4507.7898127213,24.16
54,77,656.503266864659,4214.54051760713,22.93
54,91,584.965407373691,4363.06176604461,24.78
54,105,437.721940652334,3088.93583222148,26.13
60,7,549.854241415699,13288.4931102362,22.63
60,14,515.140655685778,8411.58276845106,25.16
60,21,482.862165140726,12258.6111453745,25.19
60,35,546.778505822536,7553.48322125636,24.14
60,49,549.824904051173,5690.46955223881,24.39
60,63,528.299261976878,6161.13583038266,24.16
60,77,559.707467119219,5964.70848536275,22.93
60,91,563.496586253983,5685.22203004097,24.78
60,105,491.083381018556,4225.12658438959,26.13
61,7,551.170679438266,16771.1293236783,22.63
61,14,542.62299651568,9332.21580614508,25.16
61,21,518.677195659546,9101.82295154185,25.19
61,35,552.153780547811,6582.99074954896,24.14
61,49,550.754797441365,6372.19786780384,24.39
61,63,596.249008148117,6060.4506633676,24.16
61,77,684.776962240136,4953.18502333475,22.93
61,91,599.75466545289,4919.24137460173,24.78
61,105,458.817133981852,3799.8716227485,26.13
42,7,532.863219417161,12359.3916971316,22.63
42,14,522.540671523598,9852.80235983529,25.16
42,21,491.957248219736,11176.1959030837,25.19
42,35,530.036919796621,6755.58082663605,24.14
42,49,561.797739872068,7465.29953091684,24.39
42,63,600.542894927691,7142.608933066,24.16
42,77,660.425456088248,6254.84030547306,22.93
42,91,564.869913518434,5756.53104233045,24.78
42,105,486.216668029102,4828.83042861908,26.13
35,7,595.509976459128,3427.45746625422,22.63
35,14,473.111846689896,2694.49626227431,25.16
35,21,510.534494743981,1982.63486343612,25.19
35,35,551.981810726587,2184.9565195998,24.14
35,49,558.336417910448,1923.52059701493,24.39
35,63,581.934772407321,2052.63747280406,24.16
35,77,686.211837081035,1998.73037759864,22.93
35,91,590.802594446973,2126.02462448794,24.78
35,105,466.440897572141,1799.52126417612,26.13
1,7,514.735481776118,1324.23075435883,22.63
1,14,495.751520430789,1489.49553373456,25.16
1,21,477.808316378433,1349.36075770925,25.19
1,35,569.05765130392,1301.84790880761,24.14
1,49,531.540511727079,1164.15641791045,24.39
1,63,645.40975214368,1162.18412183781,24.16
1,77,583.363555366992,1188.05948239287,22.93
1,91,550.431133363678,1217.33641329085,24.78
1,105,439.686340227254,1002.61270013342,26.13
49,7,592.62716129556,2055.05350112486,22.63
49,14,481.383908774153,1802.77847640165,25.16
49,21,468.350940996948,1710.73503964758,25.19
49,35,536.734484172544,1525.82984254551,24.14
49,49,520.017142857143,1249.05641791045,24.39
49,63,621.492513118041,1412.29072991767,24.16
49,77,616.433899024183,1378.09796351294,22.93
49,91,579.067865270824,1474.65621301775,24.78
49,105,428.368061800049,1435.65873082055,26.13
37,7,500.288757204319,2006.41387795276,22.63
37,14,477.040909090909,2294.74239784606,25.16
37,21,473.870574771109,1731.36539207048,25.19
37,35,527.669025750369,1792.64390683943,24.14
37,49,595.707036247335,1337.59953091684,24.39
37,63,540.467087581588,603.193677744124,24.16
37,77,623.860840050912,1409.06571913449,22.93
37,91,532.357305416477,1598.53167956304,24.78
37,105,475.883103081828,1565.49566377585,26.13
40,7,504.777157236789,1032.83422384702,22.63
40,14,476.978587266392,987.867421602788,25.16
40,21,470.93494404883,770.72763876652,25.19
40,35,571.244784320157,771.045989831065,24.14
40,49,584.443667377399,695.796375266525,24.39
40,63,531.990273452498,938.05720745702,24.16
40,77,612.027450148494,893.312897751379,22.93
40,91,644.750887573965,1110.09503868912,24.78
40,105,429.862830049865,1015.09602234823,26.13
2,7,512.050734637552,960.830568053993,22.63
2,14,477.608061450744,813.691225847323,25.16
2,21,474.821863343506,820.777198237885,25.19
2,35,570.15062325734,875.408094144661,24.14
2,49,604.513859275053,904.040852878465,24.39
2,63,568.00302888102,818.98191203447,24.16
2,77,632.89592702588,893.851166737378,22.93
2,91,566.731224396905,855.411970869367,24.78
2,105,507.322651843375,789.338725817211,26.13
32,7,551.117769299456,1100.79903683915,22.63
32,14,471.211973392461,1047.97084257206,25.16
32,21,467.950703628349,860.042308370044,25.19
32,35,594.85680662621,994.135451861571,24.14
32,49,575.492622601279,879.809808102345,24.39
32,63,534.244699458214,948.520626253146,24.16
32,77,558.74586338566,905.014128128977,22.93
32,91,511.10855712335,1005.43618570778,24.78
32,105,423.354287582768,940.671614409606,26.13
43,7,505.510219985388,1139.42584715973,22.63
43,14,475.84092492873,1322.84618308521,25.16
43,21,468.369413360461,1152.56265198238,25.19
43,35,551.653862555355,955.569263572249,24.14
43,49,579.834029850746,845.641151385927,24.39
43,63,570.734055714347,646.010110490167,24.16
43,77,581.3685193042,992.858803563852,22.93
43,91,501.17956304051,936.034365043241,24.78
43,105,436.362543938527,909.517303202135,26.13
26,7,544.728192223395,19071.7273973566,22.63
26,14,534.859550205892,8402.88709217612,25.16
26,21,498.68479145473,12588.5919647577,25.19
26,35,544.692176480236,6827.22736591767,24.14
26,49,534.588144989339,5233.20545842218,24.39
26,63,713.093596689561,6446.98331982424,24.16
26,77,735.012940178193,4891.81663131099,22.93
26,91,578.643786982248,4970.43978152025,24.78
26,105,473.066745687893,4418.30395263509,26.13
3,7,519.943339556782,18262.3829618954,22.63
3,14,525.357348748812,14281.1919860627,25.16
3,21,489.294209901662,14393.3833656388,25.19
3,35,573.318254879449,12017.6785468263,24.14
3,49,521.22132196162,10199.3804690832,24.39
3,63,553.452881702999,7768.26381127085,24.16
3,77,625.639541790412,7288.04548154434,22.93
3,91,561.9513427401,5630.31993627674,24.78
3,105,453.913390010627,6296.40464476318,26.13
9,7,504.00561733907,19983.2240579303,22.63
9,14,539.867405764967,15680.735777637,25.16
9,21,488.734079348932,18590.1732687225,25.19
9,35,559.939757257668,14895.0934393964,24.14
9,49,553.347803837953,14625.1569296375,24.39
9,63,511.296233095858,11473.2958064929,24.16
9,77,658.072168010183,9730.59100551549,22.93
9,91,550.044515248066,10911.7097405553,24.78
9,105,438.262854573694,9717.92999499666,26.13
23,7,514.422112184431,27184.1043482846,22.63
23,14,536.421555273994,24426.6889927146,25.16
23,21,494.817455069515,20713.4941674009,25.19
23,35,552.294308676398,17973.8094144661,24.14
23,49,492.543454157783,13180.0960767591,24.39
23,63,545.195170854486,13908.9800349814,24.16
23,77,705.189520577005,10923.9583792957,22.93
23,91,527.835184342285,11722.8058261265,24.78
23,105,438.748835118123,9660.46522681788,26.13
44,7,542.559379819791,1083.05891451069,22.63
44,14,476.319892302819,818.070763382958,25.16
44,21,478.846702271957,944.756678414097,25.19
44,35,644.734582581598,1084.68073642775,24.14
44,49,524.419189765458,715.240170575693,24.39
44,63,587.698903630391,850.306727528689,24.16
44,77,573.354221467968,1087.38307170132,22.93
44,91,604.557487482931,970.800728265817,24.78
44,105,435.454835281615,785.754544696464,26.13
4,7,524.557041967692,1257.40702334083,22.63
4,14,515.066962305987,1266.54431422236,25.16
4,21,485.405586639539,1194.66776211454,25.19
4,35,575.675553550927,1139.54708053141,24.14
4,49,566.647718550107,1012.56746268657,24.39
4,63,547.722665415298,1013.70956870441,24.16
4,77,597.340602460755,966.313619007213,22.93
4,91,533.291670459718,1034.15575785162,24.78
4,105,438.572590533802,878.449091060707,26.13
68,7,507.856189625781,2185.3552973847,22.63
68,14,477.804545454545,1827.31179917643,25.16
68,21,470.503670735843,1571.74614096916,25.19
68,35,520.619312776775,1277.28328686239,24.14
68,49,561.060511727079,1100.58904051173,24.39
68,63,544.049784565505,1094.45851286208,24.16
68,77,737.771404327535,606.637038608401,22.93
68,91,562.818115612198,1258.99790623578,24.78
68,105,435.803523256765,1008.38392261508,26.13
72,7,497.143875314555,2069.38236431384,22.63
72,14,498.263921444409,1982.7220937599,25.16
72,21,470.689610885046,1735.06236123348,25.19
72,35,578.83902739052,1704.12319993439,24.14
72,49,599.860639658849,1355.14921108742,24.39
72,63,544.857813233224,1259.95631585683,24.16
72,77,599.14314806958,1508.49058124735,22.93
72,91,541.458534365043,1402.77250796541,24.78
72,105,448.952709883103,930.278477318212,26.13
12,7,509.745888464973,620.838881467941,22.63
12,14,473.009423503326,655.39580297751,25.16
12,21,467.846651407257,711.567488986784,25.19
12,35,539.495719206167,730.074282433984,24.14
12,49,534.315010660981,651.119957356077,24.39
12,63,547.4561238855,700.576041977731,24.16
12,77,544.850360627917,710.390878235045,22.93
12,91,509.028174783796,728.159672280382,24.78
12,105,424.9261424017,617.311749499666,26.13
70,7,559.578553454014,884.930961754781,22.63
70,14,467.842540386443,807.615172632246,25.16
70,21,468.636953204476,761.12508370044,25.19
70,35,616.041381007053,822.241807446285,24.14
70,49,535.031727078891,747.408059701492,24.39
70,63,642.587474937076,800.022012712768,24.16
70,77,537.501400084854,751.077598642342,22.93
70,91,544.95593991807,742.248702776513,24.78
70,105,482.468977356331,603.458639092728,26.13
71,7,504.497783911032,675.36334715973,22.63
71,14,517.341384225531,728.071000950269,25.16
71,21,472.742268565615,703.999515418502,25.19
71,35,526.168189273413,673.199598163031,24.14
71,49,586.370021321962,692.379189765458,24.39
71,63,584.732690584873,715.74702444435,24.16
71,77,719.753075943997,633.113194739075,22.93
71,91,500.662039144288,733.364952207556,24.78
71,105,506.720837080029,658.703343895931,26.13
31,7,543.181962821658,809.161803993251,22.63
31,14,475.910199556541,737.778112131771,25.16
31,21,481.598338419803,685.45127753304,25.19
31,35,544.50502706249,700.764162702969,24.14
31,49,637.290021321962,750.511513859275,24.39
31,63,524.64724201186,661.804786485218,24.16
31,77,573.689223589308,746.907254985151,22.93
31,91,676.741875284479,847.960764679108,24.78
31,105,426.899166189815,576.503835890594,26.13
